town,max_selling_price,financial_year,_id,max_selling_price_less_ahg_shg,room_type,min_selling_price,min_selling_price_less_ahg_shg
Sembawang,109000,2013,102,49000,2-room,70000,10000
Sembawang,177000,2013,103,127000,3-room,138000,88000
Sembawang,304000,2013,104,269000,4-room,225000,190000
Sembawang,381000,2013,105,371000,5-room,313000,303000
Sengkang,124000,2013,106,64000,2-room,76000,16000
Sengkang,189000,2013,107,139000,3-room,150000,100000
Sengkang,329000,2013,108,294000,4-room,251000,216000
Sengkang,425000,2013,109,415000,5-room,358000,348000
Yishun,118000,2013,110,58000,2-room,75000,15000
Yishun,234000,2013,111,184000,3-room,150000,100000
Yishun,320000,2013,112,285000,4-room,252000,217000
Yishun,393000,2013,113,383000,5-room,316000,306000
Bukit Batok,142000,2014,114,82000,2-room,80000,20000
Bukit Batok,211000,2014,115,161000,3-room,160000,110000
Bukit Batok,344000,2014,116,309000,4-room,259000,224000
Bukit Batok,457000,2014,117,447000,5-room,350000,340000
Punggol,139000,2014,118,79000,2-room,82000,22000
Punggol,212000,2014,119,162000,3-room,166000,116000
Punggol,341000,2014,120,306000,4-room,278000,243000
Punggol,429000,2014,121,419000,5-room,334000,324000
Woodlands,131000,2014,122,71000,2-room,72000,12000
Woodlands,197000,2014,123,147000,3-room,144000,94000
Woodlands,312000,2014,124,277000,4-room,229000,194000
Woodlands,396000,2014,125,386000,5-room,308000,298000
Sembawang,119000,2014,126,59000,2-room,73000,13000
Sembawang,185000,2014,127,135000,3-room,148000,98000
Sembawang,301000,2014,128,266000,4-room,236000,201000
Sembawang,0,2014,129,0,5-room,0,0
Sengkang,135000,2014,130,75000,2-room,90000,30000
Sengkang,208000,2014,131,158000,3-room,164000,114000
Sengkang,335000,2014,132,300000,4-room,267000,232000
Sengkang,0,2014,133,0,5-room,0,0
Yishun,123000,2014,134,63000,2-room,73000,13000
Yishun,177000,2014,135,127000,3-room,149000,99000
Yishun,318000,2014,136,283000,4-room,240000,205000
Yishun,409000,2014,137,399000,5-room,339000,329000
Bukit Batok,134000,2015,138,54000,2-room,84000,5000
Bukit Batok,202000,2015,139,132000,3-room,161000,91000
Bukit Batok,325000,2015,140,270000,4-room,266000,211000
Bukit Batok,424000,2015,141,414000,5-room,367000,357000
Punggol,145000,2015,142,65000,2-room,84000,5000
Punggol,223000,2015,143,153000,3-room,173000,103000
Punggol,372000,2015,144,317000,4-room,277000,222000
Punggol,489000,2015,145,479000,5-room,364000,354000
Sembawang,123000,2015,146,43000,2-room,75000,4000
Sembawang,188000,2015,147,118000,3-room,152000,82000
Sembawang,302000,2015,148,247000,4-room,238000,183000
Sembawang,0,2015,149,0,5-room,0,0
Sengkang,137000,2015,150,57000,2-room,80000,4000
Sengkang,202000,2015,151,132000,3-room,159000,89000
Sengkang,330000,2015,152,275000,4-room,252000,197000
Sengkang,402000,2015,153,392000,5-room,320000,310000
Bukit Panjang,139000,2016,154,59000,2-room,73000,4000
Bukit Panjang,210000,2016,155,135000,3-room,147000,72000
Bukit Panjang,336000,2016,156,276000,4-room,239000,179000
Bukit Panjang,410000,2016,157,405000,5-room,315000,310000
Punggol,140000,2016,158,60000,2-room,80000,4000
Punggol,210000,2016,159,135000,3-room,163000,88000
Punggol,365000,2016,160,305000,4-room,257000,197000
Punggol,498000,2016,161,493000,5-room,329000,324000
Sembawang,116000,2016,162,36000,2-room,74000,4000
Sembawang,181000,2016,163,106000,3-room,151000,76000
Sembawang,300000,2016,164,240000,4-room,235000,175000
Sembawang,392000,2016,165,387000,5-room,311000,306000
Yishun,123000,2016,166,43000,2-room,79000,4000
Yishun,190000,2016,167,115000,3-room,156000,81000
Yishun,297000,2016,168,237000,4-room,251000,191000
Yishun,0,2016,169,0,5-room,0,0
Bukit Batok,164000,2017,170,84000,2-room,87000,7000
Bukit Batok,246000,2017,171,171000,3-room,171000,96000
Bukit Batok,321000,2017,172,261000,4-room,265000,205000
Bukit Batok,418000,2017,173,413000,5-room,353000,348000
Choa Chu Kang,139000,2017,174,59000,2-room,89000,9000
Choa Chu Kang,211000,2017,175,136000,3-room,182000,107000
Choa Chu Kang,340000,2017,176,280000,4-room,250000,190000
Choa Chu Kang,0,2017,177,0,5-room,0,0
Punggol,0,2017,178,0,2-room,0,0
Punggol,0,2017,179,0,3-room,0,0
Punggol,347000,2017,180,287000,4-room,287000,227000
Punggol,434000,2017,181,429000,5-room,357000,352000
Sengkang,139000,2017,182,59000,2-room,78000,4000
Sengkang,215000,2017,183,140000,3-room,159000,84000
Sengkang,331000,2017,184,271000,4-room,252000,192000
Sengkang,402000,2017,185,397000,5-room,317000,312000
Woodlands,129000,2017,186,49000,2-room,71000,4000
Woodlands,189000,2017,187,114000,3-room,140000,65000
Woodlands,318000,2017,188,258000,4-room,225000,165000
Woodlands,401000,2017,189,396000,5-room,279000,274000
Yishun,113000,2017,190,33000,2-room,77000,4000
Yishun,177000,2017,191,102000,3-room,157000,82000
Yishun,291000,2017,192,231000,4-room,251000,191000
Yishun,378000,2017,193,373000,5-room,331000,326000
Jurong West,160000,2018,194,80000,2-room,95000,15000
Jurong West,243000,2018,195,168000,3-room,185000,110000
Jurong West,364000,2018,196,304000,4-room,257000,197000
Jurong West,457000,2018,197,452000,5-room,338000,333000
Punggol,158000,2018,198,78000,2-room,103000,23000
Punggol,243000,2018,199,168000,3-room,189000,114000
Punggol,362000,2018,200,302000,4-room,286000,226000
Punggol,489000,2018,201,484000,5-room,393000,388000
Sembawang,0,2018,202,0,2-room,0,0
Sembawang,204000,2018,203,129000,3-room,165000,90000
Sembawang,304000,2018,204,244000,4-room,251000,191000
Sembawang,391000,2018,205,386000,5-room,327000,322000
Sengkang,151000,2018,206,71000,2-room,99000,19000
Sengkang,242000,2018,207,167000,3-room,187000,112000
Sengkang,353000,2018,208,293000,4-room,270000,210000
Sengkang,438000,2018,209,433000,5-room,362000,357000
Tengah,150000,2018,210,70000,2-room,101000,21000
Tengah,243000,2018,211,168000,3-room,193000,118000
Tengah,355000,2018,212,295000,4-room,290000,230000
Tengah,480000,2018,213,475000,5-room,397000,392000
Yishun,132000,2018,214,52000,2-room,75000,4000
Yishun,216000,2018,215,141000,3-room,170000,95000
Yishun,317000,2018,216,257000,4-room,248000,188000
Yishun,405000,2018,217,400000,5-room,334000,329000
Punggol,173000,2019,218,93000,2-room,109000,29000
Punggol,268000,2019,219,193000,3-room,205000,130000
Punggol,398000,2019,220,338000,4-room,287000,227000
Punggol,551000,2019,221,506000,5-room,423000,378000
Sembawang,141000,2019,222,61000,2-room,89000,9000
Sembawang,210000,2019,223,135000,3-room,177000,102000
Sembawang,320000,2019,224,260000,4-room,272000,212000
Sembawang,406000,2019,225,361000,5-room,350000,305000
Tengah,167000,2019,226,87000,2-room,106000,26000
Tengah,256000,2019,227,181000,3-room,192000,117000
Tengah,381000,2019,228,321000,4-room,302000,242000
Tengah,510000,2019,229,465000,5-room,409000,364000
Woodlands,128000,2019,230,48000,2-room,86000,6000
Woodlands,194000,2019,231,119000,3-room,165000,90000
Woodlands,295000,2019,232,235000,4-room,244000,184000
Woodlands,383000,2019,233,378000,5-room,336000,331000
