license_numbers,premise_address,_id,name_of_license,business_name,latitude,longitude,postal_code
SW11146X000,"15 JALAN TEPONG, #03-02 (PART OF - LEFT SUB-UNIT), JURONG FOOD HUB, S(619336)",40,YS LOGISTICS (S) PTE. LTD.,YS LOGISTICS (S) ,1.30859345523909,103.722316829054,619336
B02025C000,"414 YISHUN RING ROAD, #01-1853, S(760414)",41,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.42452849741737,103.846595546746,760414
SW11423N000,"18 TECK WHYE LANE, #01-95, S(680018)",42,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG,1.37829768797221,103.754071398872,680018
B02026B000,"445 FAJAR ROAD, #01-536, S(670445)",43,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE,1.38358020252976,103.770774778244,670445
SW16735N000,"1 JALAN PAPAN, #01-31, S(619392)",622,GURU'S MARKETING PTE. LTD.,-,1.32087635946694,103.727545977964,619392
SW11452C000,"78A TELOK BLANGAH STREET 32, #01-01 MULTI STOREY CAR PARK, S(101078)",44,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.27338751489362,103.808980553946,101078
SW11512N000,"23 PENJURU WALK, #03-81 CASSIA@PENJURU, S(608537)",46,KEK HONG HENG,KOLEE SUPERMARKETS,1.31800211513684,103.731982921138,608537
SW11A26P000,"460 ALEXANDRA ROAD #01-09 & #01-16 PSA BLDG, ALEXANDRA RETAIL CENTRE, S(119963)",48,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.27369890868001,103.801277776077,119963
SW12C98J000,"2 JURONG EAST CENTRAL 1 JCUBE, S(609731)",50,PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.,DON DON DONKI,1.33323785085838,103.740191321438,609731
SW12F58E000,"352 CLEMENTI AVENUE 2, #01-141 CLEMENTI AVENUE 2 SHOPPING CENTRE, S(120352)",52,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.31427265951788,103.771360860916,120352
SW12G70J000,"101 CLEMENTI ROAD, #01-01 KENT VALE ESTATE, NUS, S(129787)",54,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE,1.30176049506481,103.769371057337,129787
