license_numbers,premise_address,_id,name_of_license,business_name
NE18529J000,"681 PUNGGOL DRIVE, #01-09, S(820681)",372,SONG FISH DEALER PTE LTD,THE SEAFOOD MARKET PLACE BY SONG FISH
NE18667L000,"658 PUNGGOL EAST, #01-01, S(820658)",373,HAO MART PTE. LTD.,HAO MART
NW04014P000,"102 YISHUN AVENUE 5, #01-125, S(760102)",375,COLD STORAGE SINGAPORE (1983) PTE LTD,-
NW04127A000,"900 SOUTH WOODLANDS DRIVE, #B1-01 WOODLANDS CIVIC CENTRE, S(730900)",376,NTUC FAIRPRICE CO-OPERATIVE LTD,-
NW06239N000,"108 CLEMENTI STREET 11, #01-K1, S(120108)",377,THNG SAIK MONG,-
NW06546V000,"511 CANBERRA ROAD, #02-03 SEMBAWANG MART, S(750511)",378,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
NW07277P000,"355 SEMBAWANG WAY, #01-01, S(750355)",379,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
NW07636K000,"406A SEMBAWANG DRIVE, #01-02 MULTI STOREY CAR PARK, S(751406)",380,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT
NW08020K000,"70 WOODLANDS AVENUE 7, #01-05 ADMIRALTY MRT STATION, S(738344)",381,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
NW08141P000,"41 SUNSET WAY, #01-01A CLEMENTI ARCADE, S(597071)",382,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
NW08314K000,"930 YISHUN AVENUE 2, #B1-06/07 NORTHPOINT, S(769098)",383,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
NW08385B000,"604 SEMBAWANG ROAD, #B1-25 SEMBAWANG SHOPPING CENTRE, S(758459)",384,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
NW08477X000,"36 HOLLAND DRIVE, #01-03, S(270036)",385,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
NW09331A000,"23 MANDAI ESTATE, #01-21, S(729937)",386,AJMAL TRADE MART PTE. LTD.,AJMAL TRADE MART
NW09437C000,"468B ADMIRALTY DRIVE, #01-29, S(752468)",387,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
NW10192C000,"49 ADMIRALTY ROAD WEST COCHRANE LODGE II, S(757444)",388,PHAN NEE TRADING LLP,PHAN NEE TRADING 
NW11384E000,"1 WOODLANDS SQUARE, #B1-31/32 CAUSEWAY POINT, S(738099)",389,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
NW11702X000,"200 WOODLANDS INDUSTRIAL PARK E7, #01-30 INTERIM RECREATION PARK, S(757177)",390,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
NW11767E000,"1 WOODLANDS ROAD, #01-07 THE TENNERY, S(677899)",391,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
NW12G73N000,"761 YISHUN STREET 72, #01-348 (#01-348-350-352 AND 354), S(760761)",392,PRIME SUPERMARKET (1996) PTE LTD,PRIME
NW12H40C000,"51 ADMIRALTY ROAD WEST - LODGE 1, S(757443)",393,V SURESH KUMAR,V SURESH KUMAR
NW13005P000,"50 WOODLANDS INDUSTRIAL PARK E4, #01-02 WOODLANDS LODGE ONE, S(757388)",394,BHANDARI INTERNATIONAL PTE. LTD.,BHANDARI INTERNATIONAL
NW13J23J000,"32 MANDAI ESTATE, #01-02, S(729939)",395,BISMILLAH MINIMART PTE. LTD.,BISMILLAH MINIMART
NW13K05E000,"570B WOODLANDS AVENUE 1, #01-06, S(732570)",396,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
NW14006E000,"190 WOODLANDS INDUSTRIAL PARK E7, S(757178)",397,DE ESPERTO MINIMART PTE. LTD.,de esperto minimart
NW14040B000,"463 SEMBAWANG DRIVE, #01-02 MULTI STOREY CAR PARK, S(750463)",398,FORTUNE SUPERMARKET PTE. LTD.,FORTUNE SUPERMARKET
NW14561E000,"51 NORTH COAST AVENUE, #01-03 NORTH COAST LODGE, S(756992)",399,7SEVEN PTE. LTD.,7SEVEN
NW15186C000,"547 SEGAR ROAD, #01-06 MULTI STOREY CAR PARK, S(670547)",400,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
NW15220L000,"780 WOODLANDS CRESCENT, #01-01 MULTI STOREY CAR PARK, S(730780)",401,FORTUNE SUPERMARKET PTE. LTD.,FORTUNE SUPERMARKET
NW15264K000,"29 BINJAI PARK BINJAI PARK, S(589831)",402,ALTERNATIVE SELECTION PTE. LTD.,RYAN'S GROCERY
NW15295X000,"896 DUNEARN ROAD, #02-01 SIME DARBY CENTRE, S(589472)",403,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
NW15489B000,"2 WOODLANDS SECTOR 2, #01-05 WESTLITE WOODLANDS DORMITORY, S(737723)",404,AJMAL  TRADING GROUP PTE. LTD.,AJMAL TRADING GROUP
NW16252K000,"460 MANDAI ROAD LEVEL 1, S(729760)",405,GOWRI'S GLOBAL MARKETING PTE. LTD.,GOWRI'S GLOBAL MARKETING
NW16388B000,"18 YISHUN AVENUE 9, #02-06/10 JUNCTION NINE, S(768897)",406,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
NW16634L000,"205 PETIR ROAD, #01-595, S(670205)",407,HAO MART PTE. LTD.,HAO MART
NW16763X000,"505 CANBERRA LINK, #01-01 MONTREAL SPRING, S(750505)",408,HAO MART PTE. LTD.,HAO MART
NW17024A000,"280 WOODLANDS INDUSTRIAL PARK E5, #01-24 HARVEST @ WOODLANDS, S(757322)",409,SUN TRG & CON PTE. LTD.,-
NW17069X000,"17 PETIR ROAD, #B2-03 HILLION MALL, S(678278)",410,SONG FISH DEALER PTE LTD,THE SEAFOOD MARKET PLACE BY SONG FISH
NW17097K000,"17 PETIR ROAD, #B2-67 HILLION MALL, S(678278)",411,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
NW17277E000,"280 WOODLANDS INDUSTRIAL PARK E5 (PART OF), #01-47 HARVEST @ WOODLANDS, S(757322)",412,BHANDARI INTERNATIONAL PTE. LTD.,BHANDARI INTERNATIONAL
NW17310P000,"930 YISHUN AVENUE 2, #B1-05 NORTHPOINT SHOPPING CENTRE, S(769098)",413,SONG FISH DEALER PTE LTD,THE SEAFOOD MARKET PLACE BY SONG FISH
NW17421C000,"446 FAJAR ROAD, #01-01, S(670446)",414,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
NW17699N000,"10 WOODLANDS INDUSTRIAL PARK E1, S(757733)",415,CUTECH GREEN VENTURES PTE. LTD.,GREEN VENTURES
NW17734V000,"4 WOODLANDS STREET 12, #02-61, S(738623)",416,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
NW17872B000,"1 NORTHPOINT DRIVE, #B2-103 NORTHPOINT CITY, S(768019)",417,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
NW17908L000,"676 WOODLANDS DRIVE 71, #B1-02, S(730676)",418,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
NW18091N000,"29A GHIM MOH LINK, #01-01, S(271029)",420,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
NW18192E000,"598 YISHUN RING ROAD, #01-01 WISTERIA MALL, S(768698)",421,NTUC FAIRPRICE CO-OPERATIVE LTD,FAIRPRICE FINEST
NW18310J000,"676 WOODLANDS DRIVE 71, #01-04, S(730676)",422,SONG FISH DEALER PTE LTD,TASTY FARM
NW18478E000,"675 YISHUN AVENUE 4, #01-10, S(760675)",423,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
NW18649C000,"785E WOODLANDS RISE, #01-01, S(735785)",424,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
NW18677X000,"317 YISHUN AVENUE 9, #01-04 YISHUN GREENWALK, S(760317)",425,SMART99 PTE. LTD.,SMART99
NW18778K000,"573 WOODLANDS DRIVE 16, #02-01, S(730573)",426,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
NW18A75V000,"260 ANG MO KIO STREET 21, #01-05 MULTI STOREY CAR PARK, S(560260)",427,ANG MO SUPERMARKET PTE LTD,-
NW18B29C000,"120 CANBERRA CRESCENT, #01-10 MULTI STOREY CAR PARK, S(750120)",428,ANG MO SUPERMARKET PTE LTD,ANG MO SUPERMARKET
NW19066J000,"11 KRANJI CLOSE, #01-17/18, S(737673)",429,RAJ AGRO TRADING PTE. LTD.,RAJ AGRO TRADING 
NW19111K000,"11 KRANJI CLOSE, #01-02/03, S(737673)",430,AJMAL  TRADING GROUP PTE. LTD.,AJMAL TRADING GROUP
NW19252J000,"461 YISHUN AVENUE 6, #01-01 MULTI STOREY CAR PARK, S(760461)",431,PRIME SUPERMARKET (1996) PTE LTD,PRIME FOOD & GROCER
