address,latitude,longitude,postal_code,building,road_name
407 SEMBAWANG DR,1.45332598016276,103.816840072575,750407,NIL,SEMBAWANG DRIVE
467B ADMIRALTY DR,1.45114148417526,103.813629843094,752467,BLUE RIVERVIEW,ADMIRALTY DRIVE
359 ADMIRALTY DR,1.44970819589157,103.815865172184,750359,SUN BLISS,ADMIRALTY DRIVE
351C CANBERRA RD,1.45133511467761,103.819767140308,753351,NIL,CANBERRA ROAD
501B WELLINGTON CIRCLE,1.45218571400211,103.82136988326,752501,MONTREAL SPRING,WELLINGTON CIRCLE
468D ADMIRALTY DR,1.45083059926032,103.814273470438,754468,BLUE RIVERVIEW,ADMIRALTY DRIVE
468A ADMIRALTY DR,1.45051331300816,103.813729263582,751468,BLUE RIVERVIEW,ADMIRALTY DRIVE
203E COMPASSVALE RD,1.38795018771966,103.895779285387,545203,NIL,COMPASSVALE ROAD
262A COMPASSVALE ST,1.39554139723917,103.894940558522,541262,COMPASSVALE NORTH GATE,COMPASSVALE STREET
297A COMPASSVALE ST,1.39483596039701,103.900697317347,541297,COMPASSVALE GREEN,COMPASSVALE STREET
298C COMPASSVALE ST,1.39626992629114,103.900983156779,543298,COMPASSVALE GREEN,COMPASSVALE STREET
197 RIVERVALE DR,1.39260720460019,103.903563470108,540197,RIVERVALE HAVEN,RIVERVALE DRIVE
115B YISHUN RING RD,1.43339605588677,103.82711777039,762115,CHONG PANG GARDEN,YISHUN RING ROAD
351 ANG MO KIO ST 32,1.36432366673955,103.850307632579,560351,AMK HEIGHTS,ANG MO KIO STREET 32
352 ANG MO KIO ST 32,1.36442474404862,103.850864037677,560352,AMK HEIGHTS,ANG MO KIO STREET 32
8B BOON TIONG RD,1.2870169493471,103.830303346649,165008,BOON TIONG ARCADIA,BOON TIONG ROAD
8A BOON TIONG RD,1.28652536951665,103.830124811691,164008,BOON TIONG ARCADIA,BOON TIONG ROAD
109A DEPOT RD,1.28095771309777,103.809440153696,101109,DEPOT HEIGHTS,DEPOT ROAD
659A JURONG WEST ST 65,1.33685014192095,103.702313572487,641659,NIL,JURONG WEST STREET 65
177 YUNG SHENG RD,1.33332045172975,103.721308656123,610177,CORPORATION SPRING,YUNG SHENG ROAD
273D JURONG WEST AVE 3,1.35225502596369,103.70308133299,644273,WENYA,JURONG WEST AVENUE 3
606 JURONG WEST ST 65,1.33793644267156,103.699282789577,640606,NIL,JURONG WEST STREET 65
682B JURONG WEST CTRL 1,1.34362221193011,103.705666137539,642682,NIL,JURONG WEST CENTRAL 1
669C JURONG WEST ST 64,1.34350781906318,103.702815760303,643669,NIL,JURONG WEST STREET 64
680A JURONG WEST CTRL 1,1.34462393402178,103.705560050376,641680,NIL,JURONG WEST CENTRAL 1
